1049 14971 239 839 7 4096 230 10093 3 	4 0 5 0 0 0 5 0 0 
689 2077 	2 3 
1219 235 	1 0 
19 215 615 14 13 69 37 9869 25 239 4655 7 2781 7 29292 230 10093 432 5573 3044 575 2629 2599 882 311 40 10519 7 2863 3 	0 6 7 0 0 0 0 0 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
101 15 4248 7 4 215 552 15 4304 1087 13595 13671 14 13 90 2781 280 1346 15094 27 636 133 114 157 432 4 3120 4655 20 25915 3 	1 0 0 0 0 6 7 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
12 132 194 180 437 185 582 10319 177 111 194 180 735 185 5447 16 37 2 12 4 615 15 504 168 22954 1045 2012 23273 91 8 224 4681 3 	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 15 15 3 0 0 0 0 0 
86 14 517 3120 1836 20 3399 11 175 37 20 344 26 809 20 1038 37 280 40 563 28 4 215 552 3 	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 7 0 
86 14 8 2043 74 251 28 1049 8837 3897 7101 5070 7 711 2863 13845 2 15171 11 6629 14011 27 4 967 11 3634 1091 5348 20 8 4166 4277 11 28571 801 7 3755 967 1153 3 	0 0 0 0 0 0 0 4 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5070 1655 20686 2040 43 703 27 157 11 124 26 109 10090 727 2863 121 748 11638 13345 12019 9 2501 10 59 2629 2599 882 3 	8 0 5 0 0 0 0 1 0 1 0 0 0 0 0 0 0 12 14 13 0 5 0 0 0 0 0 0 
106 5070 538 7 4254 35 2043 43 4 1049 15 3414 4304 1087 2 27860 3634 1153 149 2 2311 175 582 809 20 7910 32 139 20 137 8 3788 1413 7 967 1153 3 	0 8 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1282 8837 164 22357 590 23232 34 277 693 5070 21 41 1049 2020 2169 108 219 5 5346 30030 9647 206 12 1908 27055 3 12 	5 0 0 2 15 3 0 0 0 8 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 	0 
3250 124 11 157 1901 5070 15 2043 3 	0 1 0 1 0 8 0 0 0 
19 1049 15 3120 4304 11 28020 13959 54 300 7 14933 4 407 290 150 251 11 354 14946 7 4 937 4304 149 3 	0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
13270 42 591 51 715 7 748 15058 2 8 9724 882 1207 7 2501 56 30 990 7 42 51 6672 7 1578 206 1912 4707 3634 4907 3 	0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
230 1717 960 13 69 139 20 185 2276 7 967 1153 27 58 2863 2 49 2019 1504 26 239 76 4655 7 2781 7 1453 230 10093 668 4177 2781 859 605 3 	5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 0 0 1 0 
12 1794 111 42 7 40 3059 13885 5 30 966 133 636 54 445 7 249 101 15 256 2 12 5296 242 8838 108 552 9 22851 10 956 461 1383 833 14 13 5793 816 3 	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 6 9 9 9 7 0 4 0 0 2 15 3 0 0 6 7 0 
2079 39 631 1352 7 3755 754 1153 43 1505 3035 9783 6 663 43 8 230 423 6644 7878 121 748 41 4175 1207 7 2629 2599 882 28 4130 13995 3019 3 	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
